30.9.2020, 14:47:48; Bepanthen Augentropfen; 0
30.9.2020, 15:53:51; Bepanthen Augentropfen; 0
30.9.2020, 16:21:55; Bepanthen Augentropfen; 0

1.10.2020, 08:40:08; Bepanthen Augentropfen; 0
1.10.2020, 10:03:10; Bepanthen Augentropfen; 0
1.10.2020, 10:50:25; Bepanthen Augentropfen; 0
1.10.2020, 11:50:58; Bepanthen Augentropfen; 0
1.10.2020, 13:02:41; Bepanthen Augentropfen; 0
1.10.2020, 14:13:27; Bepanthen Augentropfen; 0
1.10.2020, 14:42:51; Bepanthen Augentropfen; 0
1.10.2020, 15:48:33; HYLO DUAL INTENSE; 0
1.10.2020, 16:40:05; HYLO DUAL INTENSE; 0
